movie_code,imdb_score,imdb_score_class
1,7.9,Good
2,7.1,Good
3,6.8,Good
4,8.5,Excellent
5,6.6,Good
6,6.2,Good
7,7.8,Good
8,7.5,Good
9,7.5,Good
10,6.9,Good
11,6.1,Good
12,6.7,Good
13,7.3,Good
14,6.5,Good
15,7.2,Good
16,6.6,Good
17,8.1,Excellent
18,6.7,Good
19,6.8,Good
20,7.5,Good
21,7,Good
22,6.7,Good
23,7.9,Good
24,6.1,Good
25,7.2,Good
26,7.7,Good
27,8.2,Excellent
28,5.9,Fair
29,7,Good
30,7.8,Good
31,7.3,Good
32,7.2,Good
33,6.5,Good
34,6.8,Good
35,7.3,Good
36,6,Fair
37,5.7,Fair
38,6.4,Good
39,6.7,Good
40,6.8,Good
41,6.3,Good
42,5.6,Fair
43,8.3,Excellent
44,6.6,Good
45,7.2,Good
46,7,Good
47,8,Good
48,7.8,Good
49,6.3,Good
50,7.3,Good
51,6.6,Good
52,7,Good
53,6.3,Good
54,6.2,Good
55,6.8,Good
56,7.2,Good
57,7.5,Good
58,8.4,Excellent
59,6.2,Good
60,5.8,Fair
61,6.8,Good
62,5.4,Fair
63,6.6,Good
64,6.9,Good
65,7.3,Good
66,9,Excellent
67,8.3,Excellent
68,6.5,Good
69,7.9,Good
70,7.5,Good
71,4.8,Fair
72,5.2,Fair
73,6.9,Good
74,5.4,Fair
75,7.9,Good
76,6.1,Good
77,5.8,Fair
78,8.3,Excellent
79,7.8,Good
80,7,Good
81,6.1,Good
82,7,Good
83,7.6,Good
84,4.5,Fair
85,6.3,Good
86,7.8,Good
87,6.4,Good
88,6.5,Good
89,7.9,Good
90,7.8,Good
91,6.6,Good
92,5.5,Fair
93,8.2,Excellent
94,6.4,Good
95,8.1,Excellent
96,8.6,Excellent
97,8.8,Excellent
98,8.2,Excellent
99,7.9,Good
100,6.7,Good
101,7.8,Good
102,7.8,Good
103,6.6,Good
104,6.1,Good
105,5.6,Fair
106,6.4,Good
107,6.1,Good
108,7.3,Good
109,6.6,Good
110,6.3,Good
111,6.1,Good
112,7.1,Good
113,5.5,Fair
114,7.5,Good
115,7.6,Good
116,6.4,Good
117,7.2,Good
118,6.7,Good
119,8,Good
120,8.3,Excellent
121,6.7,Good
122,5.9,Fair
123,6.7,Good
124,6.7,Good
125,7.6,Good
126,7.2,Good
127,7.1,Good
128,8.1,Excellent
129,6.7,Good
130,7,Good
131,6.9,Good
132,5.1,Fair
133,5.8,Fair
134,6.2,Good
135,7.4,Good
136,5.8,Fair
137,6.6,Good
138,6.2,Good
139,7.3,Good
140,4.2,Fair
141,6.9,Good
142,6.4,Good
143,5.4,Fair
144,6.7,Good
145,5.8,Fair
146,6.9,Good
147,7.2,Good
148,6.9,Good
149,6.1,Good
150,5.5,Fair
151,6.6,Good
152,6.1,Good
153,6.3,Good
154,7.2,Good
155,7.4,Good
156,7.3,Good
157,6.1,Good
158,7.7,Good
159,6.1,Good
160,8,Good
161,7.3,Good
162,7.9,Good
163,5.5,Fair
164,5,Fair
165,7.7,Good
166,6.6,Good
167,5.7,Fair
168,5.8,Fair
169,6,Fair
170,6.4,Good
